set I :=1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37;
set J :=1 2 3 4 5 6;
set K :=1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26;
set N :=1;
set A :=1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;
param M:=1000;
param d:1 2 3 4 5 6:=
1 1 0 0 0 0 0 
2 1 1 0 0 0 0 
3 1 0 0 0 0 0 
4 1 1 0 0 0 0 
5 1 0 0 0 0 0 
6 1 1 1 0 0 0 
7 1 1 1 0 0 0 
8 1 0 0 0 0 0 
9 1 0 0 0 0 0 
10 1 1 0 0 0 0
11 1 1 0 0 0 0 
12 1 1 1 0 0 0
13 1 1 1 1 0 0 
14 1 1 1 0 0 0
15 1 1 1 1 1 1 
16 1 1 0 0 0 0 
17 1 1 1 0 0 0 
18 1 1 0 0 0 0 
19 1 0 0 0 0 0 
20 1 1 1 1 0 0  
21 1 1 1 1 1 0
22 1 1 0 0 0 0 
23 1 1 1 0 0 0 
24 1 1 2 0 0 0
;
param u:1 2 3 4 5 6:=
1 508 1 1 1 1 1
2 470 521 1 1 1 1
3 523 1 1 1 1 1
4 476 525 1 1 1 1
5 436 1 1 1 1 1
6 526 533 534 1 1 1
7 379 400 536 1 1 1
8 449 1 1 1 1 1
9 506 1 1 1 1 1
10 450 463 1 1 1 1
11 443 463 1 1 1 1
12 474 510 532 1 1 1 
13 447 489 522 536 1 1
14 409 478 484 1 1 1
15 451 479 482 488 488 526
16 508 539 1 1 1 1
17 438 496 533 1 1 1
18 521 529 1 1 1 1
19 532 1 1 1 1 1
20 430 436 443 519 1 1
21 500 513 519 525 538 1
22 500 509 1 1 1 1
23 495 530 531 1 1 1
24 435 447 511 1 1 1
;
param e:1 2 3 4 5 6:=
1 1.750000 1 1 1 1 1
2 1.750000 8.000000 1 1 1 1
3 8.000000 1 1 1 1 1
4 8.000000 8.000000 1 1 1 1
5 1.750000 1 1 1 1 1 
6 8.000000 8.000000 8.000000 1 1 1
7 8.000000 1.750000 8.000000 1 1 1
8 8.000000 1 1 1 1 1
9 1.750000 1 1 1 1 1
10 1.750000 8.000000 1 1 1 1 
11 1.750000 1.750000 1 1 1 1
12 8.000000 8.000000 1.750000  1 1 1 
13 8.000000 8.000000 1.750000 8.000000 1 1 
14 1.750000 8.000000 1.750000 1 1 1
15 8.000000 8.000000 1.750000 8.000000 1.750000 8.000000
16 8.000000 1.750000 1 1 1 1
17 1.750000 1.750000 1.750000 1 1 1
18 8.000000 1.750000 1 1 1 1
19 1.750000 1 1 1 1 1
20 1.750000 1.750000 8.000000 1.750000 1 1 
21 8.000000 8.000000 1.750000 1.750000 1.750000 1
22 1.750000 1.750000 1 1 1 1
23 8.000000 8.000000 8.000000 8.000000 1 1
24 1.750000 1.750000 8.000000 1 1 1
;
param s:1 2 3 4 5 6:=
1 148.000000 1 1 1 1 1
2 61.000000 85.000000 1 1 1 1
3 101.000000 1 1 1 1 1
4 99.000000 72.000000 1 1 1 1
5 204.000000 1 1 1 1 1
6 25.000000 62.000000 42.000000 1 1 1
7 29.000000 45.000000 107.000000 1 1 1
8 35.000000 1 1 1 1 1
9 134.000000 1 1 1 1 1
10 93.000000 61.000000 1 1 1 1
11 29.000000 54.000000 1 1 1 1
12 58.000000 42.000000 154.000000 1 1 1
13 35.000000 52.000000 195.000000 84.000000 1 1 
14 58.000000 63.000000 40.000000 1 1 1 
15 26.000000 34.000000 106.000000 24.000000 95.000000 109.000000
16 82.000000 141.000000 1 1 1 1 
17 86.000000 133.000000 128.000000 1 1 1
18 153.000000 44.000000 1 1 1 1
19 50.000000 1 1 1 1 1
20 33.000000 31.000000 24.000000 48.000000 1 1 
21 43.000000 55.000000 75.000000 134.000000 53.000000 1
22 37.000000 155.000000 1 1 1 1
23 133.000000 120.000000 54.000000 1 1 1
24 83.000000 80.000000 62.000000 1 1 1
;

param t:=
[1,*,*]:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37:=
 1 40.133333 33.516667 43.116667 42.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 28.600000 21.533333 200.000000 200.000000 200.000000 200.000000 41.750000 200.000000 28.483333 200.000000 24.050000 12.233333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000  
 2 40.133333 33.516667 43.116667 42.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 28.600000 21.533333 200.000000 200.000000 200.000000 200.000000 41.750000 200.000000 28.483333 200.000000 24.050000 12.233333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 3 40.133333 33.516667 43.116667 42.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 28.600000 21.533333 200.000000 200.000000 200.000000 200.000000 41.750000 200.000000 28.483333 200.000000 24.050000 12.233333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
